Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
I5,IPN,08_2019,37674,08,2019
M9,UAEM,08_2019,286,08,2019
NO,Desconocido,08_2019,103976,08,2019
S0,SE - COBAEM,08_2019,3211,08,2019
S1,SE - CONALEP ESTADO DE MÉXICO,08_2019,8757,08,2019
S2,SE - TELEBACHILLERATO,08_2019,863,08,2019
S4,SE - CBT,08_2019,8637,08,2019
S5,SE - CECYTEM,08_2019,6490,08,2019
S7,SE - P.O. (1),08_2019,16467,08,2019
S8,SE - P.O. (2),08_2019,13430,08,2019
T3,UEMSTAyCM CMM,08_2019,234,08,2019
U6,UNAM,08_2019,31508,08,2019
A3,UEMSTAyCM CBTA,09_2019,629,09,2019
B0,Bachilleres,09_2019,30746,09,2019
C1,CONALEP,09_2019,15595,09,2019
D4,UEMSTIS,09_2019,27506,09,2019
G2,Dirección General del Bachillerato,09_2019,1217,09,2019
I5,IPN,09_2019,30382,09,2019
M9,UAEM,09_2019,191,09,2019
NO,Desconocido,09_2019,128173,09,2019
S0,SE - COBAEM,09_2019,2857,09,2019
S1,SE - CONALEP ESTADO DE MÉXICO,09_2019,8025,09,2019
S2,SE - TELEBACHILLERATO,09_2019,883,09,2019
S4,SE - CBT,09_2019,7547,09,2019
S5,SE - CECYTEM,09_2019,5433,09,2019
S7,SE - P.O. (1),09_2019,14349,09,2019
S8,SE - P.O. (2),09_2019,12031,09,2019
T3,UEMSTAyCM CMM,09_2019,273,09,2019
U6,UNAM,09_2019,24322,09,2019
A3,UEMSTAyCM CBTA,10_2019,683,10,2019
B0,Bachilleres,10_2019,27303,10,2019
C1,CONALEP,10_2019,16010,10,2019
D4,UEMSTIS,10_2019,26085,10,2019
G2,Dirección General del Bachillerato,10_2019,1077,10,2019
I5,IPN,10_2019,24521,10,2019
M9,UAEM,10_2019,178,10,2019
NO,Desconocido,10_2019,149155,10,2019
S0,SE - COBAEM,10_2019,2626,10,2019
S1,SE - CONALEP ESTADO DE MÉXICO,10_2019,7688,10,2019
S2,SE - TELEBACHILLERATO,10_2019,901,10,2019
S4,SE - CBT,10_2019,6396,10,2019
S5,SE - CECYTEM,10_2019,4783,10,2019
S7,SE - P.O. (1),10_2019,12340,10,2019
S8,SE - P.O. (2),10_2019,10974,10,2019
T3,UEMSTAyCM CMM,10_2019,310,10,2019
U6,UNAM,10_2019,19129,10,2019
A3,UEMSTAyCM CBTA,11_2019,441,11,2019
B0,Bachilleres,11_2019,20328,11,2019
C1,CONALEP,11_2019,12446,11,2019
D4,UEMSTIS,11_2019,19535,11,2019
G2,Dirección General del Bachillerato,11_2019,805,11,2019
I5,IPN,11_2019,17172,11,2019
M9,UAEM,11_2019,117,11,2019
NO,Desconocido,11_2019,201168,11,2019
S0,SE - COBAEM,11_2019,1436,11,2019
S1,SE - CONALEP ESTADO DE MÉXICO,11_2019,4261,11,2019
S2,SE - TELEBACHILLERATO,11_2019,442,11,2019
S4,SE - CBT,11_2019,3532,11,2019
S5,SE - CECYTEM,11_2019,2678,11,2019
S7,SE - P.O. (1),11_2019,6585,11,2019
S8,SE - P.O. (2),11_2019,6397,11,2019
T3,UEMSTAyCM CMM,11_2019,205,11,2019
U6,UNAM,11_2019,12611,11,2019
A3,UEMSTAyCM CBTA,12_2019,369,12,2019
B0,Bachilleres,12_2019,15960,12,2019
C1,CONALEP,12_2019,10480,12,2019
D4,UEMSTIS,12_2019,16413,12,2019
G2,Dirección General del Bachillerato,12_2019,619,12,2019
I5,IPN,12_2019,12879,12,2019
M9,UAEM,12_2019,75,12,2019
NO,Desconocido,12_2019,225424,12,2019
S0,SE - COBAEM,12_2019,1071,12,2019
S1,SE - CONALEP ESTADO DE MÉXICO,12_2019,3001,12,2019
S2,SE - TELEBACHILLERATO,12_2019,319,12,2019
S4,SE - CBT,12_2019,2583,12,2019
S5,SE - CECYTEM,12_2019,1998,12,2019
